шея | Наклоны головы вперед-назад
шея | Повороты головы влево-вправо
шея | Круговые движения головой
шея | Сопротивление ладонью на лоб
шея | Сопротивление ладонью на затылок

руки | Отжимания от пола
руки | Подтягивания на перекладине
руки | Подъем гантелей на бицепс
руки | Разгибания на трицепс с резиной
руки | Жим штанги лежа

торс | Скручивания на пресс
торс | Планка классическая
торс | Планка боковая
торс | Гиперэкстензия
торс | Подъем ног в висе
торс | Дровосек с резиной

ноги | Приседания классические
ноги | Приседания плие
ноги | Выпады вперед
ноги | Выпады назад
ноги | Ягодичный мостик
ноги | Подъем на носки
ноги | Зашагивания на платформу
