шея | Наклоны головы вперед-назад
шея | Повороты головы влево-вправо
шея | Круговые движения головой по часовой стрелке
шея | Круговые движения головой против часовой стрелки
шея | Сопротивление ладонью на лоб
шея | Сопротивление ладонью на затылок
шея | Сопротивление ладонью на висок (левая сторона)
шея | Сопротивление ладонью на висок (правая сторона)
шея | Изометрические сокращения шеи
шея | Растяжка шеи с наклоном вбок
шея | Растяжка шеи с поворотом
шея | Подъем головы лежа на спине
шея | Подъем головы лежа на животе
шея | Боковые наклоны с сопротивлением
шея | Вращения головой с задержкой
шея | Динамические кивки
шея | Статическое удержание головы
шея | Растяжка с помощью рук
шея | Комплексная разминка шеи

руки | Отжимания от пола
руки | Подтягивания на перекладине
руки | Подъем гантелей на бицепс
руки | Французский жим лежа
руки | Разгибания на трицепс с верхнего блока
руки | Молотковые сгибания
руки | Подъем штанги на бицепс
руки | Алмазные отжимания
руки | Обратные отжимания от скамьи
руки | Концентрированные подъемы на бицепс
руки | Жим гантелей сидя
руки | Разведение гантелей в стороны
руки | Подъем на бицепс в кроссовере
руки | Разгибания с канатной рукоятью
руки | Отжимания на брусьях
руки | Подъемы Зоттмана
руки | Сгибания запястий со штангой
руки | Разгибания запястий
руки | Прогулка фермера с гантелями
руки | Вис на перекладине

торс | Скручивания на пресс
торс | Планка классическая
торс | Планка боковая
торс | Гиперэкстензия
торс | Подъем ног в висе
торс | Дровосек с резиной
торс | Русские скручивания
торс | Велосипедные скручивания
торс | Подъем корпуса на римском стуле
торс | Скручивания с верхнего блока
торс | Вакуум живота
торс | Альпинист
торс | Подъем ног лежа
торс | Скручивания с мячом
торс | Боковые наклоны с гантелями
торс | Скручивания в тренажере
торс | Подъем коленей в упоре
торс | Диагональные скручивания
торс | Статическое удержание уголка
торс | Скручивания с роликом

ноги | Приседания классические
ноги | Приседания плие
ноги | Выпады вперед
ноги | Выпады назад
ноги | Ягодичный мостик
ноги | Подъем на носки
ноги | Зашагивания на платформу
ноги | Румынская тяга
ноги | Болгарские сплит-приседания
ноги | Жим ногами в тренажере
ноги | Разгибания ног в тренажере
ноги | Сгибания ног в тренажере
ноги | Подъем на носки сидя
ноги | Приседания с прыжком
ноги | Боковые выпады
ноги | Ходьба выпадами
ноги | Подъем на носок одной ноги
ноги | Приседания у стены
ноги | Запрыгивания на тумбу
ноги | Махи ногой назад с утяжелителем
